,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,full_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
0,1,Anderson School (The),Public,100 W 77th St,New York,10024,New York County,New York City Geographic District # 3,No,No,No,521,26.0,20.0,15.0,250 (48.0%),13 (2.5%),47 (9.0%),152 (29.2%),"$10,823 ",Top 25th Percentile,1,0,0,0,False,1,0
1,2,New Explorations Into Sciencetech And Math High School,"Public, Alternative",111 Columbia St,New York,10002,New York County,New York City Geographic District # 1,No,No,No,1752,95.0,18.4,23.5,710 (40.5%),123 (7.0%),202 (11.5%),578 (33.0%),"$10,124 ",Top 25th Percentile,1,0,0,0,False,1,0
2,3,Ps 77 Lower Lab School,Public,1700 3rd Ave,New York,10128,New York County,New York City Geographic District # 2,No,No,No,360,18.0,20.0,10.8,182 (50.6%),1 (0.3%),17 (4.7%),117 (32.5%),"$11,769 ",Top 25th Percentile,1,0,0,0,False,1,0
3,4,Success Academy Charter School-Union Square,"Public, Charter",40 Irving Pl-2nd Fl,New York,10003,New York County,Success Academy Charter School-Union Square,Yes,No,Yes,720,48.0,14.9,44.3,183 (25.4%),150 (20.8%),203 (28.2%),140 (19.4%),"$18,938 ",Top 25th Percentile,1,0,0,0,False,1,0
4,5,Tag Young Scholars,Public,240 E 109th St,New York,10029,New York County,New York City Geographic District # 4,No,No,No,594,24.0,24.7,34.3,101 (17.0%),99 (16.7%),90 (15.2%),231 (38.9%),"$9,029 ",Top 25th Percentile,1,0,0,0,False,1,0
5,6,Success Academy Charter School - Bergen Beach,"Public, Charter",1420 E 68th St-3rd Fl,Brooklyn,11234,Kings County,Success Academy Charter School - Bergen Beach,Yes,No,Yes,553,32.0,17.2,66.0,53 (9.6%),436 (78.8%),39 (7.1%),18 (3.3%),"$16,363 ",Top 25th Percentile,1,0,0,0,False,1,0
6,7,Success Academy Charter School-Williamsburg,"Public, Charter",183 S 3rd St-4th Fl,Brooklyn,11211,Kings County,Success Academy Charter School-Williamsburg,Yes,No,Yes,437,31.0,14.0,58.8,57 (13.0%),99 (22.7%),244 (55.8%),20 (4.6%),"$15,000 ",Top 25th Percentile,1,0,0,0,False,1,0
7,8,Success Academy Charter School-Upper West,"Public, Charter",145 W 84th St-2nd Fl,New York,10024,New York County,Success Academy Charter School-Upper West,Yes,No,Yes,790,60.0,13.1,46.3,200 (25.3%),160 (20.3%),300 (38.0%),97 (12.3%),"$16,445 ",Top 25th Percentile,1,0,0,0,False,1,0
8,9,South Bronx Classical Charter School III,"Public, Charter",3458 Third Ave,Bronx,10456,Bronx County,South Bronx Classical Charter School III,Yes,No,Yes,320,23.0,14.2,85.9,6 (1.9%),161 (50.3%),139 (43.4%),5 (1.6%),"$20,827 ",Top 25th Percentile,1,0,0,0,True,0,1
9,10,30th Avenue School (The) (G & T Citywide),Public,28-37 29th St,Astoria,11102,Queens County,New York City Geographic District #30,No,No,No,512,30.0,17.0,24.8,153 (29.9%),22 (4.3%),51 (10.0%),230 (44.9%),"$10,244 ",Top 25th Percentile,1,0,0,0,False,1,0
10,11,Success Academy Charter School-Cobble Hill,"Public, Charter",284 Baltic St-Lower Level,Brooklyn,11201,Kings County,Success Academy Charter School-Cobble Hill,Yes,No,Yes,333,26.0,12.8,53.2,88 (26.4%),92 (27.6%),105 (31.5%),30 (9.0%),"$16,702 ",Top 25th Percentile,1,0,0,0,False,1,0
11,12,Special Music School,"Public, Alternative",129 W 67th St,New York,10023,New York County,New York City Geographic District # 3,No,No,No,313,24.0,13.0,22.0,144 (46.0%),31 (9.9%),44 (14.1%),45 (14.4%),"$14,918 ",Top 25th Percentile,1,0,0,0,False,1,0
12,13,Success Academy Charter School - Bed Stuy 1,"Public, Charter",70 Tompkins Ave-2nd Fl,Brooklyn,11206,Kings County,Success Academy Charter School - Bed Stuy 1,Yes,No,Yes,766,52.0,14.7,73.0,15 (2.0%),512 (66.8%),210 (27.4%),11 (1.4%),"$17,417 ",Top 25th Percentile,1,0,0,0,True,0,1
13,14,Success Academy Charter School-Prospect Heights,"Public, Charter",801 Park Pl-4th Fl,Brooklyn,11216,Kings County,Success Academy Charter School-Prospect Heights,Yes,No,Yes,630,44.0,14.3,68.1,27 (4.3%),476 (75.6%),102 (16.2%),16 (2.5%),"$19,693 ",Top 25th Percentile,1,0,0,0,False,1,0
14,15,Success Academy Charter School-Harlem 4,"Public, Charter",240 W 113th St-3rd Fl,New York,10026,New York County,Success Academy Charter School-Harlem 4,Yes,No,Yes,424,29.0,14.6,68.2,15 (3.5%),227 (53.5%),151 (35.6%),8 (1.9%),"$14,098 ",Top 25th Percentile,1,0,0,0,False,1,0
15,16,Success Academy Charter School-Bronx 1,"Public, Charter",339 Morris Ave-2nd Fl,Bronx,10451,Bronx County,Success Academy Charter School-Bronx 1,Yes,No,Yes,588,33.0,17.9,87.4,2 (0.3%),330 (56.1%),230 (39.1%),12 (2.0%),"$17,855 ",Top 25th Percentile,1,0,0,0,True,0,1
16,17,Success Academy Charter School-Fort Greene,"Public, Charter",101 Park Ave-3rd Fl,Brooklyn,11205,Kings County,Success Academy Charter School-Fort Greene,Yes,No,Yes,294,22.0,13.3,75.5,13 (4.4%),183 (62.2%),88 (29.9%),4 (1.4%),"$17,992 ",Top 25th Percentile,1,0,0,0,True,0,1
17,18,Success Academy Charter School - Bensonhurst,"Public, Charter",99 Ave P-4th Fl,Brooklyn,11204,Kings County,Success Academy Charter School - Bensonhurst,Yes,No,Yes,509,26.0,19.5,54.8,301 (59.1%),54 (10.6%),66 (13.0%),81 (15.9%),"$12,506 ",Top 25th Percentile,1,0,0,0,False,1,0
18,19,Success Academy Charter School - Rosedale,"Public, Charter",147-65 249th St,Rosedale,11422,Queens County,Success Academy Charter School - Rosedale,Yes,No,Yes,437,22.0,19.8,64.1,2 (0.5%),384 (87.9%),33 (7.6%),5 (1.1%),"$13,998 ",Top 25th Percentile,1,0,0,0,False,1,0
19,20,Success Academy Charter School-Hell's Kitchen,"Public, Charter",439 W 49th St-2nd Fl,New York,10019,New York County,Success Academy Charter School-Hell's Kitchen,Yes,No,Yes,464,28.0,16.5,60.6,70 (15.1%),96 (20.7%),203 (43.8%),82 (17.7%),"$12,504 ",Top 25th Percentile,1,0,0,0,False,1,0
20,21,Success Academy Charter School-Harlem 5,"Public, Charter",301 W 140th St-3rd Fl,New York,10030,New York County,Success Academy Charter School-Harlem 5,Yes,No,Yes,748,55.0,13.6,78.6,14 (1.9%),506 (67.6%),198 (26.5%),8 (1.1%),"$17,461 ",Top 25th Percentile,1,0,0,0,True,0,1
