,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,fullt_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
0,1,Bronx High School Of Science (The),Public,75 W 205th St,Bronx,10468,Bronx County,New York City Geographic District #10,No,No,No,3020,141.0,21.4,42.6,673 (22.3%),80 (2.6%),214 (7.1%),"1,934 (64.0%)","$9,289 ",Top 25th Percentile,1,0,0,0,False,1,0
1,2,Stuyvesant High School,Public,345 Chambers St,New York,10282,New York County,New York City Geographic District # 2,No,No,No,3319,158.0,20.9,43.0,626 (18.9%),29 (0.9%),99 (3.0%),"2,409 (72.6%)","$10,131 ",Top 25th Percentile,1,0,0,0,False,1,0
2,3,Queens High School For The Sciences At York College,Public,94-50 159th St,Jamaica,11433,Queens County,New York City Geographic District #28,No,No,No,475,27.0,17.5,60.8,29 (6.1%),15 (3.2%),19 (4.0%),387 (81.5%),"$11,832 ",Top 25th Percentile,1,0,0,0,False,1,0
3,5,High School Of American Studies At Lehman College,Public,2925 Goulden Ave,Bronx,10468,Bronx County,New York City Geographic District #10,No,No,No,412,25.0,16.4,23.8,233 (56.6%),16 (3.9%),40 (9.7%),85 (20.6%),"$13,250 ",Top 25th Percentile,1,0,0,0,False,1,0
4,6,Townsend Harris High School,Public,149-11 Melbourne Ave,Flushing,11367,Queens County,New York City Geographic District #25,No,No,No,1183,56.0,21.1,47.5,229 (19.4%),61 (5.2%),146 (12.3%),654 (55.3%),"$11,244 ",Top 25th Percentile,1,0,0,0,False,1,0
5,8,Staten Island Technical High School,Public,485 Clawson St,Staten Island,10306,Richmond County,New York City Geographic District #31,No,No,No,1332,63.0,21.3,42.3,559 (42.0%),9 (0.7%),28 (2.1%),662 (49.7%),"$10,727 ",Top 25th Percentile,1,0,0,0,False,1,0
6,10,Brooklyn Technical High School,Public,29 Ft Greene Pl,Brooklyn,11217,Kings County,New York City Geographic District #13,No,No,No,5934,270.0,22.0,59.5,"1,452 (24.5%)",342 (5.8%),420 (7.1%),"3,557 (59.9%)","$9,360 ",Top 25th Percentile,1,0,0,0,False,1,0
7,14,High School Mathematics Science And Engineering At Ccny,Public,240 Convent Ave,New York,10031,New York County,New York City Geographic District # 5,No,No,No,490,31.0,15.9,40.4,148 (30.2%),42 (8.6%),82 (16.7%),141 (28.8%),"$14,568 ",Top 25th Percentile,1,0,0,0,False,1,0
8,17,Eleanor Roosevelt High School,Public,411 E 76th St,New York,10021,New York County,New York City Geographic District # 2,No,No,No,528,35.0,15.2,19.5,356 (67.4%),14 (2.7%),53 (10.0%),80 (15.2%),"$12,179 ",Top 25th Percentile,1,0,0,0,False,1,0
9,19,Millennium High School,Public,75 Broad St,New York,10004,New York County,New York City Geographic District # 2,No,No,No,683,40.0,17.0,49.3,219 (32.1%),26 (3.8%),76 (11.1%),319 (46.7%),"$9,873 ",Top 25th Percentile,1,0,0,0,False,1,0
10,32,Nyc Ischool,Public,131 Ave Of The Americas,New York,10013,New York County,New York City Geographic District # 2,No,No,No,464,33.0,14.0,34.5,213 (45.9%),68 (14.7%),99 (21.3%),38 (8.2%),"$12,215 ",Top 25th Percentile,1,0,0,0,False,1,0
11,33,Nyc Lab High School For Collaborative Studies,Public,333 W 17th St,New York,10011,New York County,New York City Geographic District # 2,No,No,No,471,41.0,11.4,26.5,266 (56.5%),17 (3.6%),58 (12.3%),87 (18.5%),"$19,045 ",Top 25th Percentile,1,0,0,0,False,1,0
12,39,High School For Dual Language And Asian Studies,Public,350 Grand St,New York,10002,New York County,New York City Geographic District # 2,No,No,Yes,403,25.0,16.1,88.6,9 (2.2%),9 (2.2%),14 (3.5%),367 (91.1%),"$12,295 ",Top 25th Percentile,1,0,0,0,True,0,1
13,44,Success Academy Charter School-Harlem 1,"Public, Charter, Alternative",34 W 118th St-2nd Fl,New York,10026,New York County,Success Academy Charter School-Harlem 1,Yes,No,Yes,1225,96.0,12.8,72.9,18 (1.5%),825 (67.3%),266 (21.7%),11 (0.9%),"$21,339 ",Top 25th Percentile,1,0,0,0,True,0,1
14,48,Brooklyn Latin School (The),Public,223 Graham Ave,Brooklyn,11206,Kings County,New York City Geographic District #14,No,No,No,699,35.0,20.2,60.1,93 (13.3%),86 (12.3%),82 (11.7%),376 (53.8%),"$10,483 ",Top 25th Percentile,1,0,0,0,False,1,0
15,54,Millennium Brooklyn High School,Public,237 7th Ave,Brooklyn,11215,Kings County,New York City Geographic District #15,No,No,No,671,57.0,11.7,34.9,295 (44.0%),112 (16.7%),133 (19.8%),84 (12.5%),"$16,939 ",Top 25th Percentile,1,0,0,0,False,1,0
16,55,Manhattan/Hunter Science High School,Public,122 Amsterdam Ave,New York,10023,New York County,New York City Geographic District # 3,No,No,No,441,26.0,16.9,59.0,92 (20.9%),72 (16.3%),135 (30.6%),115 (26.1%),"$11,731 ",Top 25th Percentile,1,0,0,0,False,1,0
17,64,Baruch College Campus High School,Public,55 E 25th St,New York,10010,New York County,New York City Geographic District # 2,No,No,No,476,28.0,16.9,38.7,203 (42.6%),17 (3.6%),63 (13.2%),165 (34.7%),"$11,213 ",Top 25th Percentile,1,0,0,0,False,1,0
18,75,Fiorello H Laguardia High School,Public,100 Amsterdam Ave,New York,10023,New York County,New York City Geographic District # 3,No,No,No,2762,139.0,19.9,28.3,"1,256 (45.5%)",271 (9.8%),488 (17.7%),536 (19.4%),"$10,780 ",Top 25th Percentile,1,0,0,0,False,1,0
19,87,Scholars' Academy,Public,320 Beach 104th St,Rockaway Park,11694,Queens County,New York City Geographic District #27,No,No,No,1348,71.0,18.9,47.1,563 (41.8%),232 (17.2%),264 (19.6%),252 (18.7%),"$10,256 ",Top 25th Percentile,1,0,0,0,False,1,0
20,99,Baccalaureate School For Global Education,Public,34-12 36th Ave,Long Island City,11106,Queens County,New York City Geographic District #30,No,No,No,536,30.0,17.9,35.6,144 (26.9%),21 (3.9%),101 (18.8%),247 (46.1%),"$11,568 ",Top 25th Percentile,1,0,0,0,False,1,0
21,117,Bard High School Early College,Public,525 E Houston St,New York,10002,New York County,New York City Geographic District # 1,No,No,No,614,40.0,15.3,40.4,247 (40.2%),67 (10.9%),107 (17.4%),178 (29.0%),"$12,068 ",Top 25th Percentile,1,0,0,0,False,1,0
22,123,Beacon High School,Public,522 W 44th St,New York,10036,New York County,New York City Geographic District # 3,No,No,No,1424,66.0,21.5,36.2,666 (46.8%),202 (14.2%),280 (19.7%),127 (8.9%),"$9,198 ",Top 25th Percentile,1,0,0,0,False,1,0
23,126,Bedford Academy High School,Public,1119 Bedford Ave,Brooklyn,11217,Kings County,New York City Geographic District #13,No,No,Yes,361,25.0,14.4,90.0,12 (3.3%),283 (78.4%),32 (8.9%),12 (3.3%),"$13,902 ",Top 25th Percentile,1,0,0,0,True,0,1
24,130,Manhattan Village Academy,Public,43 W 22nd St,New York,10010,New York County,New York City Geographic District # 2,No,No,Yes,452,30.0,15.1,77.0,40 (8.8%),63 (13.9%),288 (63.7%),37 (8.2%),"$11,616 ",Top 25th Percentile,1,0,0,0,True,0,1
25,132,Bard High School Early College Queens,Public,30-20 Thomson Ave,Long Island City,11101,Queens County,New York City Geographic District #24,No,No,No,643,40.0,16.0,42.6,208 (32.3%),66 (10.3%),121 (18.8%),228 (35.5%),"$11,328 ",Top 25th Percentile,1,0,0,0,False,1,0
26,136,Leon M Goldstein High School For The Sciences,Public,1830 Shore Blvd,Brooklyn,11235,Kings County,New York City Geographic District #22,No,No,No,1061,52.0,20.3,46.3,577 (54.4%),73 (6.9%),96 (9.0%),294 (27.7%),"$11,910 ",Top 25th Percentile,1,0,0,0,False,1,0
27,151,Clinton School (The),Public,10 E 15th St,New York,10003,New York County,New York City Geographic District # 2,No,No,No,721,51.0,14.1,16.0,459 (63.7%),28 (3.9%),89 (12.3%),92 (12.8%),"$11,766 ",Top 25th Percentile,1,0,0,0,False,1,0
28,161,Columbia Secondary School,Public,425 W 123rd St,New York,10027,New York County,New York City Geographic District # 5,No,No,No,716,47.0,15.2,48.5,187 (26.1%),147 (20.5%),280 (39.1%),58 (8.1%),"$12,369 ",Top 25th Percentile,1,0,0,0,False,1,0
29,198,Aviation Career And Technical Education High School,Public,45-30 36th St,Long Island City,11101,Queens County,New York City Geographic District #24,No,No,Yes,2097,122.0,17.1,61.5,193 (9.2%),85 (4.1%),962 (45.9%),758 (36.1%),"$13,173 ",Top 25th Percentile,1,0,0,0,False,1,0
30,218,Academy Of Finance And Enterprise,Public,30-20 Thomson Ave,Long Island City,11101,Queens County,New York City Geographic District #24,No,No,Yes,646,32.0,20.1,80.3,99 (15.3%),28 (4.3%),328 (50.8%),160 (24.8%),"$11,590 ",Top 25th Percentile,1,0,0,0,True,0,1
31,234,New Explorations Into Sciencetech And Math High School,"Public, Alternative",111 Columbia St,New York,10002,New York County,New York City Geographic District # 1,No,No,No,1752,95.0,18.4,23.5,710 (40.5%),123 (7.0%),202 (11.5%),578 (33.0%),"$10,124 ",Top 25th Percentile,1,0,0,0,False,1,0
32,241,Manhattan Center For Science & Mathematics,Public,260 Pleasant Ave,New York,10029,New York County,New York City Geographic District # 4,No,No,Yes,1657,90.0,18.4,80.4,90 (5.4%),310 (18.7%),875 (52.8%),309 (18.6%),"$11,141 ",Top 25th Percentile,1,0,0,0,True,0,1
33,273,Csi High School For International Studies,Public,100 Essex Dr,Staten Island,10314,Richmond County,New York City Geographic District #31,No,No,No,492,28.0,17.5,47.8,267 (54.3%),36 (7.3%),97 (19.7%),79 (16.1%),"$12,810 ",Top 25th Percentile,1,0,0,0,False,1,0
34,279,Central Park East High School,Public,1573 Madison Ave-Rm 321,New York,10029,New York County,New York City Geographic District # 4,No,No,Yes,512,29.0,17.6,78.1,23 (4.5%),134 (26.2%),253 (49.4%),87 (17.0%),"$14,323 ",50th Percentile,0,1,0,0,True,0,1
35,295,Nyc Museum School,Public,333 W 17th St,New York,10011,New York County,New York City Geographic District # 2,No,No,Yes,451,28.0,16.2,56.3,96 (21.3%),57 (12.6%),160 (35.5%),109 (24.2%),"$12,286 ",50th Percentile,0,1,0,0,False,1,0
36,308,East-West School Of International Studies,Public,46-21 Colden St,Flushing,11355,Queens County,New York City Geographic District #25,No,No,Yes,651,58.0,11.2,81.9,31 (4.8%),43 (6.6%),115 (17.7%),445 (68.4%),"$16,215 ",50th Percentile,0,1,0,0,True,0,1
37,317,Francis Lewis High School,Public,58-20 Utopia Pky,Fresh Meadows,11365,Queens County,New York City Geographic District #26,No,No,Yes,4469,230.0,19.4,69.1,669 (15.0%),268 (6.0%),947 (21.2%),"2,518 (56.3%)","$11,366 ",50th Percentile,0,1,0,0,False,1,0
