,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,fullt_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
0,1,Baccalaureate School For Global Education,Public,34-12 36th Ave,Long Island City,11106,Queens County,New York City Geographic District #30,No,No,No,536,30.0,17.9,35.6,144 (26.9%),21 (3.9%),101 (18.8%),247 (46.1%),"$11,568 ",Top 25th Percentile,1,0,0,0,False,1,0
1,2,Success Academy Charter School-Bronx 2,"Public, Charter",450 St Paul's Pl-5th Fl,Bronx,10456,Bronx County,Success Academy Charter School-Bronx 2,Yes,No,Yes,754,41.0,18.3,87.3,10 (1.3%),474 (62.9%),257 (34.1%),6 (0.8%),"$16,154 ",Top 25th Percentile,1,0,0,0,True,0,1
2,3,Ps 122 Mamie Fay,Public,21-21 Ditmars Blvd,Astoria,11105,Queens County,New York City Geographic District #30,No,No,No,1362,75.0,18.1,47.6,623 (45.7%),53 (3.9%),262 (19.2%),346 (25.4%),"$10,762 ",Top 25th Percentile,1,0,0,0,False,1,0
3,4,Anderson School (The),Public,100 W 77th St,New York,10024,New York County,New York City Geographic District # 3,No,No,No,521,26.0,20.0,15.0,250 (48.0%),13 (2.5%),47 (9.0%),152 (29.2%),"$10,823 ",Top 25th Percentile,1,0,0,0,False,1,0
4,5,Success Academy Charter School-Harlem 3,"Public, Charter, Alternative",410 E 100th St-4th Fl,New York,10029,New York County,Success Academy Charter School-Harlem 3,Yes,No,Yes,1111,67.0,16.7,74.5,19 (1.7%),584 (52.6%),366 (32.9%),12 (1.1%),"$24,480 ",Top 25th Percentile,1,0,0,0,True,0,1
5,6,Success Academy Charter School-Union Square,"Public, Charter",40 Irving Pl-2nd Fl,New York,10003,New York County,Success Academy Charter School-Union Square,Yes,No,Yes,720,48.0,14.9,44.3,183 (25.4%),150 (20.8%),203 (28.2%),140 (19.4%),"$18,938 ",Top 25th Percentile,1,0,0,0,False,1,0
6,7,New Explorations Into Sciencetech And Math High School,"Public, Alternative",111 Columbia St,New York,10002,New York County,New York City Geographic District # 1,No,No,No,1752,95.0,18.4,23.5,710 (40.5%),123 (7.0%),202 (11.5%),578 (33.0%),"$10,124 ",Top 25th Percentile,1,0,0,0,False,1,0
7,8,Success Academy Charter School-Harlem 5,"Public, Charter",301 W 140th St-3rd Fl,New York,10030,New York County,Success Academy Charter School-Harlem 5,Yes,No,Yes,748,55.0,13.6,78.6,14 (1.9%),506 (67.6%),198 (26.5%),8 (1.1%),"$17,461 ",Top 25th Percentile,1,0,0,0,True,0,1
8,9,Success Academy Charter School - Bed Stuy 1,"Public, Charter",70 Tompkins Ave-2nd Fl,Brooklyn,11206,Kings County,Success Academy Charter School - Bed Stuy 1,Yes,No,Yes,766,52.0,14.7,73.0,15 (2.0%),512 (66.8%),210 (27.4%),11 (1.4%),"$17,417 ",Top 25th Percentile,1,0,0,0,True,0,1
9,10,30th Avenue School (The) (G & T Citywide),Public,28-37 29th St,Astoria,11102,Queens County,New York City Geographic District #30,No,No,No,512,30.0,17.0,24.8,153 (29.9%),22 (4.3%),51 (10.0%),230 (44.9%),"$10,244 ",Top 25th Percentile,1,0,0,0,False,1,0
