zipcode,walkable_false,walkable_true,health_level_dead,health_level_fair,health_level_good,health_level_poor,ada_access_no,ada_access_yes,ada_access_partial,type_is_active_cleanup_mild_threat,type_is_active_significant_threat,type_is_completed_clean,type_is_maintain_continued_threat,type_is_potential_threat,type_is_felony,type_is_violation,type_is_misdemeanor,danger_level_is_high,danger_level_is_low,lunch_eligibity_high_False,lunch_eligibity_high_True,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high_False,lunch_eligibity_high_True,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high_False,lunch_eligibity_high_True,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile
83,0.0,0.0,3.0,39.0,885.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10001,0.0,18.0,61.0,100.0,719.0,31.0,4.0,3.0,0.0,3.0,0.0,7.0,0.0,1.0,308.0,166.0,469.0,77.0,866.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10002,0.0,35.0,107.0,387.0,1656.0,115.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,614.0,265.0,1084.0,221.0,1742.0,7.0,7.0,6.0,2.0,4.0,2.0,4.0,5.0,1.0,3.0,2.0,3.0,2.0,11.0,3.0,1.0,3.0,6.0
10003,0.0,60.0,82.0,361.0,1480.0,102.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0,159.0,947.0,239.0,1491.0,3.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,3.0,5.0,1.0,0.0,4.0,3.0
10004,0.0,4.0,1.0,17.0,97.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0
10005,0.0,14.0,14.0,57.0,59.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10006,0.0,2.0,5.0,6.0,42.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
10007,0.0,13.0,17.0,49.0,274.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009,0.0,16.0,70.0,307.0,1458.0,89.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,300.0,153.0,483.0,86.0,850.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10010,0.0,39.0,48.0,102.0,707.0,32.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,406.0,211.0,685.0,189.0,1113.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0
10011,0.0,85.0,94.0,195.0,1769.0,76.0,5.0,2.0,0.0,1.0,0.0,10.0,0.0,1.0,664.0,200.0,924.0,252.0,1536.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,1.0,4.0
